trip_id,rider_id,driver_id,vehicle_type,trip_fare,day_type,rating,wait_time,trip_duration
100051,1285,5038,Premium,58.02,Weekday,Not given,22,14
100052,1320,5041,Economy,30.83,Weekday,5,8,53
100053,1008,5005,Economy,26.07,Weekend,4,22,45
100054,1395,5089,Economy,38.69,Weekday,1,13,42
100055,1437,5090,Shared,13.28,Weekday,4,13,69
100056,1441,5035,Economy,50.75,Weekday,5,19,52
100057,1104,5072,Premium,17.4,Weekday,1,16,17
100058,1295,5065,Economy,13.21,Weekday,5,11,65
100059,1239,5045,Economy,50.52,Weekday,Not given,16,49
100060,1330,5090,Premium,58.38,Weekday,5,5,15
100061,1437,5015,Shared,37.1,Weekend,4,19,43
100062,1403,5071,SUV,58.46,Weekday,4,23,65
100063,1328,5013,Shared,49.72,Weekday,Not given,18,13
100064,1104,5055,Shared,22.58,Weekday,2,22,22
100065,1400,5050,Economy,26.14,Weekday,4,11,42
100066,1301,5019,Economy,36.65,Weekday,Not given,8,43
100067,1001,5089,Economy,57.34,Weekday,5,18,52
100068,1117,5061,Economy,31.42,Weekday,5,10,56
100069,1363,5097,Economy,7.6,Weekend,4,14,29
100070,1141,5057,Premium,13.48,Weekend,1,13,55
100071,1274,5094,Premium,12.02,Weekend,Not given,21,68
100072,1249,5069,Premium,63.5,Weekday,Not given,4,72
100073,1204,5054,SUV,35.99,Weekday,2,3,22
100074,1464,5007,Economy,34.57,Weekend,5,21,20
100075,1354,5068,Economy,10.85,Weekday,4,20,62
100076,1478,5025,Economy,53.8,Weekend,3,15,68
100077,1153,5001,Economy,12.31,Weekday,5,21,27
100078,1165,5068,SUV,53.44,Weekday,5,24,25
100079,1381,5094,SUV,27.89,Weekday,5,23,58
100080,1192,5048,Premium,59.45,Weekday,3,21,37
100081,1276,5016,Economy,43.08,Weekday,5,9,25
100082,1499,5073,Economy,40.64,Weekend,3,4,20
100083,1420,5069,SUV,45.78,Weekend,3,21,14
100084,1031,5061,Premium,16.54,Weekend,5,6,62
100085,1011,5092,Economy,60.02,Weekend,4,6,42
100086,1445,5081,Shared,43.06,Weekend,5,15,28
100087,1104,5084,Economy,62.08,Weekday,4,22,31
100088,1277,5012,Economy,54.65,Weekday,4,14,23
100089,1412,5045,Shared,46.69,Weekday,5,14,18
100090,1265,5007,Economy,22.61,Weekday,5,11,41
100091,1343,5059,Premium,23.92,Weekday,4,23,60
100092,1379,5051,Economy,62.99,Weekday,4,16,33
100093,1283,5035,Economy,22.58,Weekday,2,21,69
100094,1344,5040,Shared,15.72,Weekend,2,20,47
100095,1175,5072,Economy,11.56,Weekend,5,17,70
100096,1048,5027,Economy,31.36,Weekday,Not given,10,12
100097,1439,5092,Premium,20.8,Weekday,5,14,20
100098,1230,5060,SUV,7.97,Weekday,5,11,41
100099,1215,5090,Economy,35.59,Weekday,5,24,74
100100,1138,5001,Economy,15.99,Weekday,Not given,13,44
100101,1174,5087,Shared,44.92,Weekday,5,9,33
100102,1387,5015,Premium,51.09,Weekday,3,6,33
100103,1403,5092,Economy,24.18,Weekday,1,22,40
100104,1059,5048,Premium,33.61,Weekday,4,17,67
100105,1240,5075,Economy,37.38,Weekday,5,7,33
100106,1093,5024,Economy,49.48,Weekday,5,7,36
100107,1396,5043,Economy,39.69,Weekday,5,11,56
100108,1395,5049,Shared,47.63,Weekday,Not given,22,47
100109,1114,5027,Premium,60.89,Weekend,4,24,11
100110,1479,5005,Economy,21.63,Weekend,4,8,39
100111,1420,5067,Premium,18.13,Weekday,Not given,16,38
100112,1029,5044,Economy,62.02,Weekday,Not given,14,57
100113,1004,5085,Economy,32.94,Weekday,4,13,67
100114,1340,5031,Premium,25.87,Weekday,5,11,19
100115,1341,5080,Economy,46.55,Weekday,4,18,54
100116,1304,5010,Shared,39.0,Weekday,5,24,59
100117,1015,5079,Economy,31.84,Weekend,Not given,4,66
100118,1251,5050,SUV,36.68,Weekday,4,11,45
100119,1198,5029,Economy,10.6,Weekend,5,12,16
100120,1445,5090,Economy,40.82,Weekday,5,20,26
100121,1198,5035,Premium,45.3,Weekday,3,19,66
100122,1121,5094,Economy,40.72,Weekend,Not given,4,44
100123,1436,5042,Shared,7.42,Weekday,4,12,68
100124,1263,5022,Economy,18.49,Weekend,5,13,19
100125,1473,5089,Shared,14.39,Weekday,Not given,7,70
100126,1104,5003,Economy,39.31,Weekday,Not given,22,64
100127,1230,5087,Economy,59.55,Weekend,5,16,64
100128,1367,5085,Shared,21.67,Weekday,4,4,17
100129,1072,5026,SUV,14.3,Weekday,4,19,59
100130,1358,5003,Shared,59.31,Weekday,5,15,49
100131,1453,5051,Economy,24.97,Weekday,3,4,64
100132,1245,5050,Economy,17.91,Weekend,4,3,38
100133,1408,5064,Premium,34.27,Weekday,Not given,20,51
100134,1164,5003,Economy,35.84,Weekday,3,8,46
100135,1208,5096,Premium,28.78,Weekday,5,4,59
100136,1227,5029,Shared,28.53,Weekday,5,15,33
100137,1452,5022,SUV,28.56,Weekend,4,5,34
100138,1339,5063,SUV,18.44,Weekday,4,21,58
100139,1442,5051,Economy,16.1,Weekend,4,17,43
100140,1462,5053,Economy,46.15,Weekday,4,4,40
100141,1047,5057,SUV,16.7,Weekday,5,9,68
100142,1132,5006,Premium,37.15,Weekday,5,6,53
100143,1047,5043,Economy,11.78,Weekday,5,4,64
100144,1486,5083,Economy,53.55,Weekend,4,10,69
100145,1286,5076,Economy,45.58,Weekday,4,17,17
100146,1471,5023,Economy,10.19,Weekday,4,4,26
100147,1150,5035,Economy,39.97,Weekend,4,13,23
100148,1379,5049,Shared,12.53,Weekend,4,10,69
100149,1022,5061,Premium,32.6,Weekday,5,13,10
100150,1466,5073,Economy,53.42,Weekday,5,9,26
100151,1024,5010,Economy,51.47,Weekday,4,4,15
100152,1236,5096,Economy,25.03,Weekday,Not given,14,22
100153,1255,5097,Economy,23.5,Weekday,3,15,66
100154,1384,5047,Economy,45.51,Weekday,Not given,21,39
100155,1095,5060,Economy,17.8,Weekday,4,3,39
100156,1357,5052,Shared,54.76,Weekend,5,17,69
100157,1200,5048,Premium,37.13,Weekend,5,17,52
100158,1277,5005,Premium,51.17,Weekday,Not given,6,65
100159,1028,5060,Shared,46.77,Weekday,5,23,48
100160,1460,5037,Economy,34.56,Weekday,4,16,29
100161,1006,5035,Shared,51.16,Weekday,5,12,58
100162,1306,5099,Premium,27.96,Weekday,4,12,10
100163,1471,5082,Economy,39.17,Weekend,5,14,50
100164,1218,5009,Premium,17.69,Weekday,5,15,25
100165,1192,5096,Economy,48.12,Weekend,5,17,60
100166,1083,5061,Premium,17.87,Weekday,5,4,20
100167,1078,5047,Economy,64.24,Weekday,4,15,13
100168,1359,5020,Economy,23.05,Weekend,5,3,25
100169,1132,5014,Economy,16.02,Weekday,5,16,40
100170,1185,5036,Premium,34.49,Weekend,2,13,73
100171,1384,5015,Shared,39.54,Weekend,Not given,23,45
100172,1143,5007,Economy,37.25,Weekday,5,6,57
100173,1384,5025,Premium,16.61,Weekend,4,19,57
100174,1050,5032,SUV,53.03,Weekday,5,16,26
100175,1344,5010,Shared,41.29,Weekday,5,12,20
100176,1053,5032,Economy,11.32,Weekday,5,6,59
100177,1254,5013,Economy,23.96,Weekday,2,9,10
100178,1398,5049,Premium,58.66,Weekend,5,24,45
100179,1432,5076,Economy,44.77,Weekend,5,8,63
100180,1434,5026,Shared,40.03,Weekday,Not given,8,42
100181,1281,5086,Premium,24.28,Weekday,4,24,28
100182,1405,5063,Economy,21.31,Weekday,4,24,70
100183,1449,5022,Economy,15.5,Weekday,5,19,17
100184,1181,5078,Economy,54.22,Weekend,5,17,63
100185,1317,5069,Shared,64.93,Weekend,4,6,33
100186,1304,5020,Economy,8.87,Weekday,5,12,47
100187,1371,5067,Economy,17.58,Weekday,Not given,22,17
100188,1286,5071,Shared,8.1,Weekday,5,18,36
100189,1317,5074,Economy,34.94,Weekend,4,4,25
100190,1310,5050,Economy,17.27,Weekend,3,17,35
100191,1396,5028,SUV,15.54,Weekend,5,9,32
100192,1041,5036,Premium,18.61,Weekday,4,24,51
100193,1220,5034,Premium,62.52,Weekday,4,8,21
100194,1302,5043,Economy,21.42,Weekday,4,3,13
100195,1098,5034,Economy,55.45,Weekday,5,22,52
100196,1409,5094,Premium,10.3,Weekday,5,6,36
100197,1293,5040,Economy,11.8,Weekend,4,16,29
100198,1167,5065,Economy,32.34,Weekday,4,12,20
100199,1138,5002,Premium,50.63,Weekday,Not given,9,64
100200,1126,5059,SUV,35.61,Weekend,5,5,53
100201,1053,5018,Premium,63.81,Weekday,5,8,47
100202,1068,5060,SUV,43.11,Weekday,5,16,29
100203,1300,5072,Economy,63.72,Weekday,5,13,11
100204,1130,5002,Premium,31.51,Weekday,3,6,73
100205,1080,5024,Economy,29.28,Weekday,5,7,37
100206,1069,5081,Premium,20.75,Weekend,4,13,38
100207,1197,5027,Shared,43.31,Weekday,Not given,9,73
100208,1485,5038,Premium,20.14,Weekday,1,23,73
100209,1062,5035,Economy,22.86,Weekday,Not given,5,28
100210,1147,5004,SUV,40.44,Weekday,5,17,68
100211,1308,5078,Economy,42.8,Weekend,Not given,5,10
100212,1271,5021,Premium,47.8,Weekday,5,20,44
100213,1413,5001,Economy,41.38,Weekday,5,15,41
100214,1402,5063,SUV,15.65,Weekday,4,22,27
100215,1088,5030,Economy,16.13,Weekend,Not given,8,11
100216,1047,5048,SUV,17.08,Weekday,4,18,25
100217,1053,5049,Economy,21.2,Weekday,4,3,42
100218,1145,5090,Premium,15.44,Weekend,Not given,23,47
100219,1455,5050,Premium,55.27,Weekday,5,10,24
100220,1456,5018,Premium,62.08,Weekend,3,21,31
100221,1085,5087,Premium,19.18,Weekend,Not given,5,20
100222,1011,5048,Economy,49.07,Weekend,5,10,68
100223,1191,5050,Premium,48.35,Weekday,Not given,13,54
100224,1363,5064,Premium,37.33,Weekday,Not given,12,56
100225,1097,5032,Premium,37.4,Weekday,5,17,23
100226,1123,5036,Shared,60.87,Weekend,Not given,21,67
100227,1236,5057,SUV,28.93,Weekend,5,3,35
100228,1499,5084,Economy,42.2,Weekday,5,6,34
100229,1488,5072,Premium,37.45,Weekday,Not given,4,23
100230,1494,5073,Economy,16.29,Weekday,5,21,54
100231,1186,5012,Economy,54.53,Weekday,5,17,12
100232,1152,5027,Economy,46.51,Weekday,Not given,24,20
100233,1471,5003,Premium,9.23,Weekend,5,18,52
100234,1470,5017,Economy,29.16,Weekday,5,11,65
100235,1027,5001,Premium,8.64,Weekday,4,17,29
100236,1077,5051,Premium,61.13,Weekday,4,7,44
100237,1067,5009,Premium,28.09,Weekday,Not given,16,63
100238,1233,5080,SUV,15.96,Weekday,1,18,74
100239,1055,5002,Economy,39.36,Weekday,5,4,26
100240,1146,5002,Economy,14.43,Weekday,Not given,4,21
100241,1194,5043,Shared,10.59,Weekend,1,10,19
100242,1186,5029,Economy,12.29,Weekday,5,22,22
100243,1474,5091,Economy,17.63,Weekday,4,20,63
100244,1259,5036,Economy,8.69,Weekday,4,6,58
100245,1081,5086,Economy,53.71,Weekend,4,12,71
100246,1051,5024,Shared,27.01,Weekend,5,3,66
100247,1323,5065,Economy,55.3,Weekday,Not given,12,18
100248,1089,5021,SUV,21.17,Weekday,5,19,55
100249,1080,5022,Economy,29.63,Weekday,4,11,64
100250,1350,5044,SUV,13.97,Weekday,4,13,38
100251,1007,5038,Economy,26.1,Weekend,2,8,47
100252,1349,5090,Economy,36.61,Weekday,5,22,63
100253,1043,5033,Economy,58.56,Weekday,5,23,57
100254,1023,5067,Premium,46.98,Weekday,5,21,55
100255,1378,5003,SUV,58.29,Weekday,5,14,42
100256,1245,5003,Economy,12.1,Weekend,5,15,10
100257,1369,5001,Economy,44.71,Weekday,4,21,47
100258,1405,5091,Economy,34.01,Weekday,5,5,73
100259,1410,5091,Shared,64.7,Weekend,Not given,16,11
100260,1384,5057,Premium,51.61,Weekday,3,11,37
100261,1098,5071,Premium,47.85,Weekend,5,24,51
100262,1111,5054,Premium,19.82,Weekday,5,20,29
100263,1439,5039,Premium,39.48,Weekday,Not given,18,31
100264,1072,5090,Economy,29.62,Weekday,4,18,58
100265,1457,5031,Economy,53.1,Weekday,5,12,28
100266,1209,5021,Economy,33.72,Weekday,2,5,12
100267,1222,5021,Economy,33.58,Weekend,5,4,60
100268,1193,5047,Economy,14.6,Weekend,5,20,25
100269,1365,5021,Economy,33.78,Weekend,Not given,9,31
100270,1064,5010,Economy,18.73,Weekday,4,19,29
100271,1489,5008,Economy,9.71,Weekday,5,4,52
100272,1360,5067,Economy,15.69,Weekday,Not given,20,53
100273,1209,5018,Economy,48.76,Weekend,4,4,50
100274,1423,5066,Shared,11.13,Weekend,3,5,69
100275,1302,5070,Economy,64.34,Weekday,3,21,21
100276,1360,5008,SUV,11.53,Weekday,Not given,20,24
100277,1104,5046,Economy,20.89,Weekday,4,8,53
100278,1373,5019,Economy,29.71,Weekend,4,12,34
100279,1164,5074,Economy,16.47,Weekday,3,19,25
100280,1026,5030,Economy,10.35,Weekday,5,17,38
100281,1224,5070,Economy,48.61,Weekend,Not given,23,65
100282,1076,5092,Economy,59.64,Weekday,Not given,24,74
100283,1457,5053,Economy,21.48,Weekend,5,11,64
100284,1012,5092,Economy,16.25,Weekday,4,23,10
100285,1333,5057,Economy,15.58,Weekday,5,23,44
100286,1208,5050,SUV,7.96,Weekday,Not given,10,14
100287,1370,5050,Economy,9.14,Weekend,5,19,25
100288,1380,5043,Economy,11.06,Weekday,5,5,23
100289,1307,5015,SUV,17.57,Weekend,5,7,33
100290,1240,5022,Premium,42.55,Weekday,4,23,33
100291,1151,5016,Economy,30.48,Weekend,4,16,21
100292,1102,5034,Economy,22.58,Weekday,5,13,73
100293,1060,5060,Economy,26.17,Weekend,4,7,23
100294,1323,5011,Premium,63.09,Weekday,5,21,10
100295,1359,5033,Premium,55.2,Weekday,Not given,11,20
100296,1491,5090,Economy,8.98,Weekday,3,14,37
100297,1123,5053,Shared,7.98,Weekday,5,15,42
100298,1002,5029,Premium,14.22,Weekend,1,9,26
100299,1035,5047,Economy,26.65,Weekday,5,15,36
100300,1038,5010,Shared,60.25,Weekday,1,9,65
100301,1442,5099,SUV,23.36,Weekday,5,9,44
100302,1036,5072,Economy,16.44,Weekday,5,20,71
100303,1299,5081,Economy,60.63,Weekday,Not given,12,56
100304,1116,5090,Shared,17.57,Weekday,5,3,63
100305,1358,5083,Economy,52.84,Weekday,5,15,46
100306,1173,5082,Shared,45.12,Weekday,4,7,58
100307,1243,5009,Economy,54.46,Weekday,3,22,72
100308,1109,5008,Economy,60.19,Weekday,5,5,37
100309,1178,5054,Economy,32.61,Weekday,3,21,33
100310,1160,5065,Economy,20.28,Weekday,Not given,11,21
100311,1080,5090,Economy,29.22,Weekday,1,23,53
100312,1086,5024,Economy,54.57,Weekend,Not given,14,36
100313,1004,5089,SUV,32.89,Weekend,4,3,65
100314,1312,5019,Shared,32.19,Weekday,5,23,19
100315,1330,5084,Shared,54.56,Weekday,2,20,66
100316,1222,5068,Economy,24.28,Weekend,Not given,6,18
100317,1479,5008,Economy,61.3,Weekday,5,15,15
100318,1100,5058,Economy,44.85,Weekday,Not given,9,70
100319,1041,5082,Premium,45.91,Weekday,4,14,40
100320,1183,5095,Economy,24.95,Weekend,5,16,32
100321,1473,5090,Economy,50.6,Weekend,5,23,11
100322,1351,5096,Economy,43.83,Weekday,Not given,11,46
100323,1360,5073,Economy,55.6,Weekday,4,11,51
100324,1471,5081,Shared,16.71,Weekday,5,22,32
100325,1246,5056,Shared,34.3,Weekend,5,17,24
100326,1146,5056,Premium,56.32,Weekday,4,8,14
100327,1246,5079,Economy,34.18,Weekday,Not given,15,48
100328,1248,5088,Economy,25.76,Weekday,Not given,6,55
100329,1069,5075,Economy,34.06,Weekday,5,8,17
100330,1402,5071,Shared,49.7,Weekend,5,24,54
100331,1403,5084,Economy,63.59,Weekday,4,20,39
100332,1445,5090,Premium,28.86,Weekday,Not given,23,10
100333,1340,5079,Economy,12.58,Weekend,4,24,29
100334,1083,5066,Shared,41.68,Weekend,4,3,10
100335,1136,5015,Premium,46.93,Weekday,4,24,42
100336,1068,5037,Economy,17.0,Weekday,5,18,74
100337,1253,5017,Economy,24.31,Weekday,3,13,13
100338,1419,5098,Premium,28.36,Weekday,3,12,67
100339,1252,5047,Economy,26.47,Weekday,Not given,24,40
100340,1077,5003,Economy,17.73,Weekday,4,13,42
100341,1384,5018,Economy,17.88,Weekday,5,8,40
100342,1095,5024,Shared,50.6,Weekday,5,18,22
100343,1120,5036,Economy,53.04,Weekday,Not given,19,73
100344,1277,5082,Economy,54.22,Weekend,5,24,69
100345,1454,5026,Economy,63.15,Weekend,4,7,67
100346,1330,5019,Economy,17.71,Weekend,3,19,56
100347,1060,5070,Premium,25.4,Weekday,5,9,68
100348,1035,5022,Economy,7.66,Weekend,Not given,16,11
100349,1454,5028,Economy,28.46,Weekend,5,5,12
100350,1124,5064,Economy,25.31,Weekend,4,6,55
100351,1377,5057,Economy,41.74,Weekend,4,13,58
100352,1026,5021,Premium,53.83,Weekday,5,5,32
100353,1207,5095,Premium,46.37,Weekday,Not given,16,71
100354,1477,5055,Premium,23.38,Weekend,5,20,56
100355,1331,5085,Economy,48.53,Weekday,5,4,31
100356,1076,5068,Economy,50.69,Weekend,5,10,59
100357,1290,5042,Premium,61.86,Weekday,4,10,34
100358,1394,5066,Economy,24.56,Weekend,5,3,25
100359,1428,5040,SUV,62.99,Weekend,5,24,72
100360,1021,5080,Economy,31.03,Weekend,Not given,10,14
100361,1211,5056,Economy,60.28,Weekday,5,9,63
100362,1159,5034,Economy,44.86,Weekend,5,16,43
100363,1260,5007,Economy,23.2,Weekday,5,13,71
100364,1431,5005,Economy,10.7,Weekday,1,15,20
100365,1286,5011,Shared,55.27,Weekday,5,13,42
100366,1048,5008,Economy,36.84,Weekday,5,13,27
100367,1497,5041,Economy,29.9,Weekday,4,21,21
100368,1028,5028,SUV,21.56,Weekday,4,11,50
100369,1466,5007,SUV,47.11,Weekend,2,3,54
100370,1456,5089,Premium,16.36,Weekday,4,14,68
100371,1026,5078,SUV,50.16,Weekday,2,22,74
100372,1239,5016,Shared,13.15,Weekend,4,23,28
100373,1095,5099,Economy,22.41,Weekend,5,7,39
100374,1103,5080,Premium,36.66,Weekday,4,7,41
100375,1186,5068,Economy,61.98,Weekday,1,12,55
100376,1406,5083,Economy,10.47,Weekend,5,4,26
100377,1030,5035,SUV,60.58,Weekend,5,13,21
100378,1391,5033,Economy,11.89,Weekday,Not given,9,33
100379,1311,5022,Economy,63.93,Weekday,4,22,13
100380,1048,5082,Economy,60.92,Weekday,1,18,36
100381,1048,5016,Premium,45.59,Weekday,5,23,12
100382,1317,5053,Economy,8.97,Weekday,3,20,13
100383,1135,5075,Shared,64.64,Weekend,3,23,39
100384,1460,5024,Economy,17.1,Weekday,5,24,18
100385,1098,5053,Premium,59.51,Weekday,Not given,9,67
100386,1438,5064,Premium,62.49,Weekday,4,21,66
100387,1173,5043,SUV,47.36,Weekday,5,17,10
100388,1227,5044,Shared,56.34,Weekday,5,24,29
100389,1168,5008,Economy,56.81,Weekday,4,13,61
100390,1381,5053,Shared,20.46,Weekday,4,23,69
100391,1417,5020,Economy,19.57,Weekday,5,23,74
100392,1472,5010,Economy,19.98,Weekend,2,20,25
100393,1079,5003,Shared,30.68,Weekend,Not given,24,12
100394,1497,5047,Shared,14.04,Weekend,4,10,22
100395,1127,5017,Economy,14.79,Weekday,2,6,63
100396,1278,5034,Economy,40.99,Weekday,Not given,3,45
100397,1091,5053,Economy,37.46,Weekday,5,8,54
100398,1399,5097,Economy,59.24,Weekend,5,20,20
100399,1113,5033,Premium,24.63,Weekday,2,4,42
100400,1405,5023,Economy,14.72,Weekday,4,16,64
100401,1002,5042,Economy,24.63,Weekend,4,20,48
100402,1327,5003,Economy,15.93,Weekday,Not given,24,36
100403,1410,5080,Shared,64.02,Weekday,4,13,47
100404,1046,5083,Premium,35.58,Weekday,5,8,35
100405,1097,5095,Shared,60.63,Weekday,3,24,22
100406,1417,5029,Economy,24.56,Weekday,5,6,66
100407,1251,5090,Economy,16.83,Weekend,Not given,9,43
100408,1416,5001,Economy,25.89,Weekend,4,23,36
100409,1170,5052,Economy,15.14,Weekday,Not given,6,56
100410,1235,5085,Economy,58.88,Weekday,Not given,11,42
100411,1080,5030,Economy,26.41,Weekday,1,21,19
100412,1088,5087,Premium,63.55,Weekday,5,5,34
100413,1023,5030,Economy,28.99,Weekend,5,24,20
100414,1495,5051,Premium,53.43,Weekday,5,18,53
100415,1351,5059,Economy,56.72,Weekday,2,18,55
100416,1303,5095,Economy,27.7,Weekday,5,3,33
100417,1488,5022,Economy,36.46,Weekday,5,9,15
100418,1328,5061,SUV,27.65,Weekday,5,9,48
100419,1153,5092,Economy,41.09,Weekday,4,4,20
100420,1298,5042,SUV,35.92,Weekday,3,9,50
100421,1165,5002,Economy,61.53,Weekend,4,10,39
100422,1160,5035,Economy,54.3,Weekday,2,12,11
100423,1273,5052,SUV,60.85,Weekend,2,17,34
100424,1344,5074,SUV,33.87,Weekday,Not given,8,12
100425,1151,5031,Economy,36.24,Weekend,5,22,30
100426,1481,5044,SUV,61.98,Weekday,4,11,60
100427,1388,5042,Economy,10.29,Weekday,3,20,14
100428,1397,5019,Premium,51.27,Weekday,5,16,58
100429,1383,5069,Economy,15.66,Weekday,4,23,19
100430,1328,5002,Shared,44.78,Weekend,Not given,12,31
100431,1010,5041,Economy,38.96,Weekend,5,5,26
100432,1216,5059,Economy,57.47,Weekday,4,3,50
100433,1499,5074,Economy,7.65,Weekday,5,4,48
100434,1224,5080,Shared,32.2,Weekend,5,15,55
100435,1168,5020,Premium,7.13,Weekday,5,22,73
100436,1378,5024,Economy,53.84,Weekday,Not given,5,65
100437,1360,5068,SUV,42.49,Weekday,5,19,59
100438,1193,5045,SUV,39.18,Weekend,3,9,65
100439,1191,5013,Economy,22.39,Weekday,3,12,14
100440,1345,5047,Shared,38.19,Weekday,5,23,23
100441,1077,5092,Economy,22.09,Weekend,5,7,61
100442,1094,5098,Economy,13.35,Weekday,Not given,12,14
100443,1468,5079,Economy,18.57,Weekday,Not given,19,21
100444,1224,5007,Economy,37.21,Weekend,4,16,28
100445,1496,5053,Shared,40.04,Weekend,5,11,54
100446,1197,5047,SUV,33.67,Weekday,3,5,30
100447,1454,5063,Premium,8.13,Weekend,Not given,22,67
100448,1366,5078,Shared,52.11,Weekday,4,11,29
100449,1444,5007,Economy,41.14,Weekday,Not given,23,43
100450,1053,5084,Shared,54.01,Weekday,5,16,26
100451,1008,5085,Premium,60.79,Weekday,3,14,71
100452,1425,5079,SUV,20.28,Weekday,5,16,63
100453,1370,5086,Shared,61.74,Weekend,Not given,11,57
100454,1074,5090,Economy,19.5,Weekday,Not given,22,15
100455,1343,5087,Shared,39.13,Weekday,5,11,19
100456,1015,5025,Economy,47.33,Weekday,5,10,21
100457,1050,5059,Premium,56.63,Weekday,1,8,25
100458,1098,5055,Economy,54.57,Weekday,5,17,12
100459,1231,5024,Economy,54.51,Weekday,4,22,35
100460,1154,5083,Economy,15.64,Weekend,5,13,19
100461,1442,5074,Economy,41.53,Weekend,5,14,34
100462,1297,5017,Economy,41.57,Weekday,4,5,22
100463,1018,5003,Economy,64.09,Weekday,5,16,42
100464,1493,5024,Economy,62.99,Weekday,5,18,55
100465,1161,5065,Economy,46.56,Weekday,Not given,6,37
100466,1212,5070,Economy,19.64,Weekday,Not given,16,21
100467,1379,5026,Shared,27.23,Weekday,5,14,23
100468,1354,5018,Economy,56.31,Weekday,5,9,67
100469,1232,5090,Economy,41.24,Weekday,4,13,17
100470,1379,5029,Economy,22.1,Weekday,4,19,24
100471,1233,5002,Premium,47.76,Weekday,5,9,35
100472,1412,5050,Economy,27.01,Weekday,3,3,12
100473,1432,5090,Shared,42.58,Weekday,4,24,18
100474,1014,5025,Shared,51.65,Weekend,5,14,27
100475,1199,5060,Shared,21.64,Weekend,5,10,10
100476,1272,5038,Economy,39.4,Weekend,4,4,54
100477,1221,5044,SUV,43.93,Weekday,3,3,71
100478,1403,5072,Premium,46.76,Weekday,3,21,24
100479,1223,5041,Economy,53.32,Weekend,4,8,25
100480,1433,5018,Premium,32.84,Weekday,Not given,20,46
100481,1194,5046,Economy,18.47,Weekday,4,6,53
100482,1489,5050,Economy,12.33,Weekday,Not given,8,74
100483,1493,5045,Premium,53.01,Weekday,4,20,72
100484,1339,5042,Premium,11.53,Weekday,Not given,8,72
100485,1163,5001,Economy,38.39,Weekend,1,13,54
100486,1134,5066,Premium,10.81,Weekday,4,8,31
100487,1047,5054,Economy,42.73,Weekday,4,21,38
100488,1212,5056,Economy,32.22,Weekday,5,22,16
